Reference,Author Year,Polymer,Alternate Polymer Names,End Groups,Solvents,Solvent Ratio (wt%),Solvent Ratio (vol%),Stationary Phase,Manufacturer,Base Material,Base Material Modification,Phase,Particle diameter (μm),Pore size (Å),Temperature (Celsius),Flow Rate (mL/min),Injected Polymer Concentration (g/L),Detector,Reference (Raw),Paper DOI,Corresponding Author Name,Corresponding Email Address,Physical Address,Publication Year (Raw),Critical Condition Basis,Critical Condition Confidence,Model Confidences,Qwen Confidence,Mistral Confidence,Analyte Polymer (Raw),Analyte Polymer (Standardized),Critical Component (Raw),Critical Component (Standardized),Architecture (Raw),Architecture (Standardized),Polymer (Raw),Alternate Polymer Names (Parsed from Raw),Polymer Parsing,End Groups (Raw),End Groups (Parsed),Solvents (Raw),Solvents (Standardized),Solvent Qualifiers (Standardized),Solvent Count (Standardized),Solvent Ratio (Raw),Solvent Ratio Units (Raw),Solvent Ratio Components (Standardized),Solvent Ratio Units (Standardized),Solvent Ratio Minimum (Standardized),Solvent Ratio Maximum (Standardized),Stationary Phase (Raw),Manufacturer (Raw),Base Material Source (Raw),Base Material Modification (Raw),Column Name (Raw),Column Mode (Raw),Column Mode (Standardized),Column Dimensions (Raw),Pore Size (Raw),Pore Size (Standardized),Temperature (Raw),Temperature (Standardized),Flow Rate (Raw),Flow Rate (Standardized),Injected Polymer Concentration (Raw),Detector (Raw),Aqueous Parameters (Raw),Aqueous Parameters (Standardized),Evidence Text,Notes
28,1998,Polybutadiene,PB,,"Methyl Ethyl Ketone, Cyclohexane",,"98, 2",RP-18 (Nonpolar),,,,Reverse,,"300.0, 1000.0",,,,"Differential refractometer, UV detector, FTIR (LC Transform)",[28] Braun1998.pdf,10.1080/10236669808009731,H. Pasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,Critical point of adsorption of polybutadiene,explicit,{},,,"Styrene-butadiene block copolymers (Samples 2, 3, 4)","Styrene-butadiene block copolymers (Samples 2, 3, 4)",Polybutadiene (PB),Polybutadiene,"Diblock and Triblock (PS-PB, PS-PB-PS)",diblock,"Styrene-butadiene block copolymers (Samples 2, 3, 4)",PB,diblock,,,"[""Methyl ethyl ketone"", ""Cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,98:02:00,volume percent,"[98.0, 2.0]",v/v,,,RP-18 (Nonpolar),,RP-18 (Nonpolar),,Nucleosil 5C18 300 + 1000,,,250 x 4 mm i.d.,300 A + 1000 A,"300.0, 1000.0",,,,,,"Differential refractometer, UV detector, FTIR (LC Transform)","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical point of adsorption on a RP-18 stationary phase corresponds to a mobile phase composition of MEK/cyclohexane 98% :2% by volume... At the critical point of adsorption for PB, PS would elute in the SEC mode.","Used to determine the size of the polystyrene blocks. PB blocks are chromatographically invisible. Solubility limit for PB homopolymer is ~30,000 g/mol, but block copolymers are soluble."
28,1998,Polystyrene,,,"Tetrahydrofuran, Hexane",,"43.4, 56.6",Silica gel,,Silica,,,,,,,,,[28] Braun1998.pdf,10.1080/10236669808009731,H. Rasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,Critical point of adsorption,explicit,{},,,Styrene—Butadiene block copolymers,Styrene—Butadiene block copolymers,Polystyrene,Polystyrene,"Diblock, Triblock",diblock,Styrene—Butadiene block copolymers,Polystyrene,diblock,,,"[""tetrahydrofuran"", ""n-hexane""]","[""Tetrahydrofuran"", ""Hexane""]","[null, null]",2,43.4:56.6,% by volume,"[43.4, 56.6]",v/v,,,Silica gel,,Silica gel,,LiChrospher Si-300 + Si-1000,,,200x4mm i.d.,,,,,,,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the critical point of polystyrene (PS) the polybutadiene block will be determined, while at the critical point of polybutadiene (PB) the PS block is to be analyzed.",
28,1998,Polybutadiene,,,"Methyl Ethyl Ketone, Cyclohexane",,"98, 2",RP-18,,,,Reverse,,,,,,,[28] Braun1998.pdf,10.1080/10236669808009731,H. Rasch,,"Deutsches Kunststoff-institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",1998,Critical point of adsorption,explicit,{},,,Styrene—Butadiene block copolymers,Styrene—Butadiene block copolymers,Polybutadiene,Polybutadiene,"Diblock, Triblock",diblock,Styrene—Butadiene block copolymers,Polybutadiene,diblock,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,98:02:00,% by volume,"[98.0, 2.0]",v/v,,,RP-18,,RP-18,,"Nucleosil 5Cys, 300A +1000A",,,250x 4mm i.d.,,,,,,,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical point of adsorption on a RP-18 stationary phase corresponds to a mobile phase composition of MEK/cyclohexane 98% :2% by volume.,
38,1999,Polystyrene,,,"Acetonitrile, Dichloromethane",,"57, 43",C18,,Silica,,Reverse,,100,30.5,0.5,,RI and LALLS,[38] Chang1999.pdf,10.1002/(SICI)1098-2760(199910)200:10<2188::AID-MACP2188>3.0.CO;2-8,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, POSTECH, Pohang, 790-784 KOREA",1999,chromatographic critical point,explicit,{},,,polystyrene,Polystyrene,CH2Cl2/CH3CN,CH2Cl2/CH3CN,linear,linear,polystyrene,,linear,,,"[""CH3CN"", ""CH2Cl2""]","[""Acetonitrile"", ""Dichloromethane""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18,,C18,,C18-bonded silica,,,250 6 4.6 mm,100 A˚,100,30.5,30.5,0.5 mL/min,0.5,,RI and LALLS,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the composition of 57/43 (v/v) CH2Cl2 /CH3CN, all the PS standards are eluted as a single peak. This is the chromatographic critical point or the adsorption-size exclusion transition point where the enthalpic and entropic terms in Eq. (2) compensate each other.",Critical condition for polystyrene separation.
38,1999,Polystyrene,,,"Dichloromethane, Acetonitrile",,"57, 43",C18 bonded silica,,Silica,,Reverse,,100,30.5,0.5,,RI,[38] Chang1999.pdf,10.1002/(SICI)1098-2760(199910)200:10<2188::AID-MACP2188>3.0.CO;2-8,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, POSTECH, Pohang, 790-784 KOREA",1999,"Chromatographic critical point where enthalpic and entropic terms compensate, resulting in loss of separation selectivity according to molecular weight",explicit,{},,,Polystyrene,Polystyrene,,,Linear,linear,Polystyrene,,linear,,,"[""CH2Cl2"", ""CH3CN""]","[""Dichloromethane"", ""Acetonitrile""]","[null, null]",2,57/43,v/v,"[57.0, 43.0]",v/v,,,C18 bonded silica,,C18 bonded silica,,"Alltech, Nucleosil",,,250 x 4.6 mm,100 A,100,30.5,30.5,0.5 mL/min,0.5,,RI,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","At the composition of 57/43 (v/v) CH2Cl2 /CH3CN, all the PS standards are eluted as a single peak. This is the chromatographic critical point or the adsorption-size exclusion transition point where the enthalpic and entropic terms in Eq. (2) compensate each other. This compensation results in the loss of separation selectivity according to the polymer molecular weight, and all the PS standards are eluted near the injection solvent peak position regardless of their molecular weights.",Also observed at 30.5 C with fixed composition 57/43 in Fig 3.
47,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,,100,,0.5,,refractive index detector,[47] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PMMA,explicit,{},,,poly(methyl methacrylate),Poly(methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),diblock copolymer,diblock,poly(methyl methacrylate),,diblock,,,"[""methyl ethyl ketone (MEK)"", ""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200x4mm,100 A,100,,,0.5 ml/min,0.5,,refractive index detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical point of PMMA is obtained at a composition of 73 vol% MEK/27 vol% cyclohexane.,"Initial column system used for B3, B4, B5. UV detection at 280 nm used for selective PS detection."
47,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,,,0.5,,ultraviolet/visible photometer (280 nm),[47] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PMMA in block copolymer analysis,explicit,{},,,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),block copolymer,block copolymer,poly(styrene-b-methyl methacrylate),,block,,,"[""methyl ethyl ketone (MEK)"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,LiChrospher Si-300 and Si-1000,,,200x4mm,,,,,0.5 ml/min,0.5,,ultraviolet/visible photometer (280 nm),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The critical point for PMMA is obtained at a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane.,
47,1993,Poly(methyl methacrylate),,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,"300.0, 1000.0",,0.5,,UV (280 nm),[47] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,critical point of adsorption for PMMA block,explicit,{},,,poly(styrene-b-methyl methacrylate),poly(styrene-b-methyl methacrylate),poly(methyl methacrylate),Poly(methyl methacrylate),diblock copolymer,diblock,poly(styrene-b-methyl methacrylate),,diblock,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,LiChrospher Si-300 and LiChrospher Si-1000,,,self-packed,300 A and 1000 A,"300.0, 1000.0",,,0.5 ml min-1,0.5,,UV (280 nm),"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","As can be seen in Figure 4, the critical point for PMMA is obtained at a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane... Figure 5 Chromatograms of the block copolymers... at the critical point of PMMA; LiChrospher Si-300 and Si-1000, MEK-cyclohexane 70:30 vol%.","Second column system used for B1, B2, B3, B4, B5 to avoid exclusion limit issues. UV detection at 280 nm used for selective PS detection."
48,1993,Poly(methyl methacrylate),,,,,,,,,,,,,,,,,[48] Pasch1993.pdf,,Harald Pasch,,"Deutsches Kunststoff-Institut, SchloBgartenstr. 6, 64289 Darmstadt, Germany",1993,liquid chromatography at the critical point of adsorption,explicit,{},,,block copolymers of decyl and methyl methacrylate,block copolymers of decyl and methyl methacrylate,poly(methyl methacrylate),Poly(methyl methacrylate),block copolymer,block copolymer,block copolymers of decyl and methyl methacrylate,,block,,,,[],[],0,,,,,,,,,,,,,,,,,,,,,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",Block copolymers of decyl and methyl methacrylate were analyzed by liquid chromatography at the critical point of adsorption. The molar mass and the polydispersity of the decyl methacrylate block was determined using chromatographic conditions resulting in a critical mode for poly(methyl methacrylate).,
48,1993,Copolymers Of Decyl And Methyl Methacrylate,,,,,,,,,,,,,,,,,[48] Pasch1993.pdf,,Harald Pasch,,"Deutsches Kunststoff-Institut, SchloBgartenstr. 6, 64289 Darmstadt, Germany",1993,critical point of adsorption,explicit,{},,,block copolymers of decyl and methyl methacrylate,block copolymers of decyl and methyl methacrylate,decyl methacrylate block,decyl methacrylate block,block copolymer,block copolymer,block copolymers of decyl and methyl methacrylate,,block,,,,[],[],0,,,,,,,,,,,,,,,,,,,,,,,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",The molar mass and the polydispersity of the decyl methacrylate block was determined using chromatographic conditions resulting in a critical mode for poly(methyl methacrylate).,
49,1993,Poly(methyl methacrylate),PMMA,,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,200,,,,,differential RI detector,[49] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PMMA,explicit,{},,,PMMA,Poly(methyl methacrylate),PMMA,Poly(methyl methacrylate),homopolymer,linear,PMMA,,linear,,,"[""methyl ethyl ketone (MEK)"", ""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200 µm × 4 mm i.d.,,,,,,,,differential RI detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",At the critical point of PMMA (73 vol% MEK/27 vol% cyclohexane) a complete separation of the elution zones of PMMA and PS is achieved.,Used for separation of blends where PMMA is one component. Other components elute in size exclusion mode.
49,1993,Polystyrene,PS,,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,200,,,,,differential RI detector,[49] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PS,explicit,{},,,PS,Polystyrene,PS,Polystyrene,homopolymer,linear,PS,,linear,,,"[""methyl ethyl ketone (MEK)"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200 µm × 4 mm i.d.,,,,,,,,differential RI detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",At the critical point of PMMA (73 vol% MEK/27 vol% cyclohexane) a complete separation of the elution zones of PMMA and PS is achieved.,
49,1993,Poly(vinyl chloride),PVC,Cl,"Methyl Ethyl Ketone, Cyclohexane",,"73, 27",silica gel,,Silica,,,200,,,,,differential RI detector,[49] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,explicit mention of critical point of adsorption for PVC,explicit,{},,,PVC,Poly(vinyl chloride),PVC,Poly(vinyl chloride),homopolymer,linear,PVC,,linear,,Cl,"[""methyl ethyl ketone (MEK)"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,73:27:00,vol%,"[73.0, 27.0]",v/v,,,silica gel,,silica gel,,Nucleosil Si-100,,,200 µm × 4 mm i.d.,,,,,,,,differential RI detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",Figure 4 shows the behaviour of poly(vinyl chloride) (PVC)/PMMA blends in the size exclusion mode for both components (100 vol% MEK) and in the critical mode for PMMA (73 vol% MEK/27 vol% cyclohexane).,
49,1993,Poly(methyl methacrylate),PMMA,,"Methyl Ethyl Ketone, Cyclohexane",,"70, 30",silica gel,,Silica,,,,,,,,"Waters differential RI detector R401, Knauer u.v./vis. filter photometer",[49] Pasch1993.pdf,,H. Pasch,,"Deutsches Kunststoff-Institut, Schlossgartenstrasse 6, 6100 Darmstadt, Germany",1993,critical point of adsorption,explicit,{},,,"PMMA, PS, PVC",Poly(methyl methacrylate),PMMA,Poly(methyl methacrylate),homopolymer,linear,"PMMA, PS, PVC",,linear,,,"[""methyl ethyl ketone"", ""cyclohexane""]","[""Methyl Ethyl Ketone"", ""Cyclohexane""]","[null, null]",2,70:30:00,vol%,"[70.0, 30.0]",v/v,,,silica gel,,silica gel,,LiChrospher Si2300 and Si-1000,,,200 x 4 mm i.d.,,,,,,,,"Waters differential RI detector R401, Knauer u.v./vis. filter photometer","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","As can be seen, the critical point of PMMA is shifted to a mobile phase composition of 70 vol% MEK/30 vol% cyclohexane (Figure 5, upper right corner). At this point PS-PMMA and PVC-PMMaA blends may be separated into their components.",Two-column system with slightly different silica surface characteristics. Resolution noted as lower than Si-100 due to larger particle size (10 um).
6,2002,Poly(methyl methacrylate),PMMA,,Acetonitrile,,,C18,,Silica,,Reverse,,300,66,0.4-1,,Evaporative light scattering detector DDL-21,[6] Macko2002.pdf,10.1021/ma010994t,T. Macko,,"Laboratory of Polymers and Biomaterials, Department of Chemical Engineering, Swiss Federal Institute of Technology, 1015 Lausanne, Switzerland",2002,explicit mention of critical conditions,explicit,{},,,PMMA,Poly(methyl methacrylate),acetonitrile,acetonitrile,single component,single component,PMMA,,,,,"[""acetonitrile""]","[""Acetonitrile""]",[null],1,,,,,,,C18,,C18,,Nucleosil C18,,,250 x 6 mm,30 nm,300,66,66,0.4 to 1 mL/min,0.4-1,,Evaporative light scattering detector DDL-21,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical conditions have been identified in some single eluents which are thermodynamicaly poor solvents for polymers investigated, namely, acetonitrile for PMMA at 66 °C",Also demonstrated separation of PMMA according to stereoregularity (isotactic vs syndiotactic) under these conditions.
6,2002,Poly(n-butyl methacrylate),PnBMA,,Dimethylformamide,,,C18,,Silica,,Reverse,,300,154,0.4-1,,Evaporative light scattering detector DDL-21,[6] Macko2002.pdf,10.1021/ma010994t,T. Macko,,"Laboratory of Polymers and Biomaterials, Department of Chemical Engineering, Swiss Federal Institute of Technology, 1015 Lausanne, Switzerland",2002,explicit mention of critical conditions,explicit,{},,,PnBMA,Poly(n-butyl methacrylate),dimethylformamide,dimethylformamide,single component,single component,PnBMA,,,,,"[""dimethylformamide""]","[""Dimethylformamide""]",[null],1,,,,,,,C18,,C18,,Nucleosil C18,,,250 x 6 mm,30 nm,300,154,154,0.4 to 1 mL/min,0.4-1,,Evaporative light scattering detector DDL-21,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",dimethylformamide for PnBMA at 154 °C,Temperature is far above the tabulated Theta point; system may exhibit two Theta points.
6,2002,Polystyrene,PS,,Cyclohexane,,,C18,,Silica,,Reverse,,300,9,0.4-1,,Evaporative light scattering detector DDL-21,[6] Macko2002.pdf,10.1021/ma010994t,T. Macko,,"Laboratory of Polymers and Biomaterials, Department of Chemical Engineering, Swiss Federal Institute of Technology, 1015 Lausanne, Switzerland",2002,explicit mention of critical conditions,explicit,{},,,PS,Polystyrene,cyclohexane,cyclohexane,single component,single component,PS,,,,,"[""cyclohexane""]","[""Cyclohexane""]",[null],1,,,,,,,C18,,C18,,Nucleosil C18,,,250 x 6 mm,30 nm,300,9,9,0.4 to 1 mL/min,0.4-1,,Evaporative light scattering detector DDL-21,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}",cyclohexane for PS at 9 °C,Described as 'criticallike' elution; higher molar masses underwent phase separation but still eluted under critical conditions.
6,2002,Polystyrene,,,Cyclohexane,,,Silica gel bonded and end-capped C18 phase,,Silica,,Reverse,,100,9,0.4-1,,Evaporative light scattering detector DDL-21,[6] Macko2002.pdf,10.1021/ma010994t,T. Macko,,"Deutsches Kunststoff-Institut, Schlossgartenstr. 6, 64289 Darmstadt, Germany",2002,Temperature adjustment in a single component eluent (cyclohexane) on end-capped C18 bonded silica,explicit,{},,,Polystyrene,Polystyrene,,,,,Polystyrene,,,,,"[""cyclohexane""]","[""Cyclohexane""]",[null],1,,,,,,,Silica gel bonded and end-capped C18 phase,,Silica gel bonded and end-capped C18 phase,,Agilent Extend C18,,,250 x 4.6 mm,10 nm,100,9,9,0.4 to 1 mL/min,0.4-1,,Evaporative light scattering detector DDL-21,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","Table 2, entry 19: PS on Agilent Extend C18, cyclohexane, critical, +9 °C.",Comparison with Nucleosil C18 shows the effect of end-capping on critical conditions.
Banerjee2015,2015,PIB-diol,PIB-monool,,"Tetrahydrofuran, Methanol","80.5, 19.5",,reversed phase C18,,Silica,,Reverse,,120,35,0.5,,RI detector,Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,Liquid chromatography at critical conditions (LCCC),explicit,{},,,"PIB-diol, PIB-monool, non-functional PIB","PIB-diol, PIB-monool, non-functional PIB",THF/methanol,THF/methanol,Telechelic polyisobutylene diol,Telechelic polyisobutylene diol,"PIB-diol, PIB-monool, non-functional PIB",PIB-monool,telechelic,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,reversed phase C18,,reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A˚,120,35,35,0.5 mL/min,0.5,,RI detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","LCCC was conducted on a Waters HPLC system with Waters 2695 separation module at a flow rate of 0.5 mL/min. For UV/RI system, a Waters 2414 Refractive Index detector at 30[◦] C was used along with a Waters 2996 Photodiode Array detector operating at A = 254 nm. 10 we L samples of 0.5 wt% polymer solutions were injected for UV/RI system. All measurements were carried out at a constant column temperature of 35[◦] C and constant sample temperature of 30[◦] C. One reversed phase C18 chromatography column (YMC HPLC COLUMN) with average particle size = 5 we m, pore diameters = 120 A i][˚] and column size (Inner diameter × Length) = 4.6 mm × 250 mm was used. HPLC grade THF and methanol were used to prepare the mobile phase and the solution of the polymers. The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w).","The critical condition was established for PIB samples, allowing separation based on functionality independent of molecular weight."
Banerjee2015,2015,PIB-diol,"PIB-diallyl, PIB-monool, PIB-dichloride, PIB-diolefin, PIBOL014",,"Tetrahydrofuran, Methanol","80.5, 19.5",,Reversed phase C18,,Silica,,Reverse,,120,35,0.5,,Refractive Index (RI) detector,Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,Elution independent of molecular weight for identical chemical functionality,explicit,{},,,"PIB-diol, PIB-diallyl, PIB-monool, PIB-dichloride, PIB-diolefin, PIBOL014","PIB-diol, PIB-diallyl, PIB-monool, PIB-dichloride, PIB-diolefin, PIBOL014",PIB backbone,PIB backbone,"Telechelic, linear","Telechelic, linear","PIB-diol, PIB-diallyl, PIB-monool, PIB-dichloride, PIB-diolefin, PIBOL014","PIB-diallyl, PIB-monool, PIB-dichloride, PIB-diolefin, PIBOL014","linear, telechelic",,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,Reversed phase C18,,Reversed phase C18,,YMC HPLC COLUMN,,,4.6 mm x 250 mm,120 A,120,35,35,0.5 mL/min,0.5,,Refractive Index (RI) detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). ... According to Fig. 6 in THF/methanol 80.5/19.5 (w/w) PIB samples with identical chemical functionality eluted at the same position, independently of their MW.",RI detector used for quantitative analysis; ELS detector also used but noted as non-linear for quantification.
Banerjee2015,2015,PIB-diol,,,"Tetrahydrofuran, Methanol","80.5, 19.5",,C18,,Silica,,Reverse,,120,35,0.5,,Waters 2414 Refractive Index detector,Banerjee2015.pdf,10.1016/j.chroma.2014.12.022,Rudolf Faust,Rudolf Faust@uml.edu,"Polymer Science Program, Department of Chemistry, University of Massachusetts Lowell, One University Avenue, Lowell, Massachusetts 01854, USA",2015,LCCC,explicit,{},,,PIB-diol,PIB-diol,PIB-diol,PIB-diol,telechelic,telechelic,PIB-diol,,telechelic,,,"[""THF"", ""methanol""]","[""Tetrahydrofuran"", ""Methanol""]","[null, null]",2,80.5/19.5,w/w,"[80.5, 19.5]",w/w,,,C18,,C18,,YMC HPLC COLUMN,,,4.6 mm × 250 mm,120 A[˚],120,35,35,0.5 mL/min,0.5,,Waters 2414 Refractive Index detector,"{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","{""pH"": null, ""salt_added"": false, ""salt_type"": null, ""salt_concentration"": null}","LCCC was conducted on a Waters HPLC system with Waters 2695 separation module at a flow rate of 0.5 mL/min. For UV/RI system, a Waters 2414 Refractive Index detector at 30[◦] C was used along with a Waters 2996 Photodiode Array detector operating at A = 254 nm. 10 we L samples of 0.5 wt% polymer solutions were injected for UV/RI system. All measurements were carried out at a constant column temperature of 35[◦] C and constant sample temperature of 30[◦] C. One reversed phase C18 chromatography column (YMC HPLC COLUMN) with average particle size = 5 we m, pore diameters = 120 A i][˚] and column size (Inner diameter × Length) = 4.6 mm × 250 mm was used. HPLC grade THF and methanol were used to prepare the mobile phase and the solution of the polymers. The solvents were freshly distilled before use to avoid any degassing related issue. The critical solvent composition for PIB was established as THF/methanol 80.5/19.5 (w/w). Premixing of the mobile phase by weight is necessary for a constant and exact composition. Samples were prepared by dissolving polymer in THF/methanol 80.5/19.5 (w/w).",
